volume_surface_ratio,rho,required_prism_expansion_pct,required_member_expansion_pct,source
1.5,0.0010,0.02904,0.03677,digitized from Fig. 9.3
1.5,0.0015,0.03663,0.03588,digitized from Fig. 9.3
1.5,0.0050,0.05201,0.03375,digitized from Fig. 9.3
1.5,0.0100,0.06163,0.02783,digitized from Fig. 9.3
1.5,0.0200,0.06575,0.02161,digitized from Fig. 9.3
3.0,0.0010,0.02445,0.03097,digitized from Fig. 9.3
3.0,0.0015,0.03090,0.03027,digitized from Fig. 9.3
3.0,0.0050,0.04431,0.02876,digitized from Fig. 9.3
3.0,0.0100,0.05765,0.02604,digitized from Fig. 9.3
3.0,0.0200,0.06087,0.02000,digitized from Fig. 9.3
4.5,0.0010,0.02032,0.02574,digitized from Fig. 9.3
4.5,0.0015,0.02541,0.02489,digitized from Fig. 9.3
4.5,0.0050,0.03715,0.02411,digitized from Fig. 9.3
4.5,0.0100,0.04734,0.02138,digitized from Fig. 9.3
4.5,0.0200,0.05368,0.01764,digitized from Fig. 9.3
6.0,0.0010,0.01835,0.02324,digitized from Fig. 9.3
6.0,0.0015,0.02313,0.02266,digitized from Fig. 9.3
6.0,0.0050,0.03062,0.01987,digitized from Fig. 9.3
6.0,0.0100,0.04100,0.01852,digitized from Fig. 9.3
6.0,0.0200,0.04815,0.01582,digitized from Fig. 9.3
